EntityID,geometry,dataset,group
hippocampus,"POLYGON ((2648.78 8157.38, 2715.3 8114.14, 2798.45 8054.27, 2908.21 8040.97, 3024.61 8027.67, 3174.28 8014.36, 3320.62 8014.36, 3543.46 8060.93, 3676.5 8097.51, 3842.8 8187.31, 3972.51 8293.74, 4055.66 8393.52, 4178.72 8533.21, 4275.17 8762.7, 4258.54 8942.3, 4172.06 9022.12, 3959.2 9098.62, 3812.86 9118.58, 3663.19 9118.58, 3473.62 9088.64, 3240.8 9045.41, 3084.48 9015.47, 2934.81 9012.15, 2845.01 9005.49, 2798.45 9012.15, 2731.93 9032.1, 2705.32 9055.38, 2662.09 9098.62, 2622.17 9158.49, 2592.24 9238.31, 2555.66 9321.46, 2519.07 9381.33, 2482.48 9417.91, 2432.6 9427.89, 2382.71 9427.89, 2309.54 9407.93, 2279.6 9391.3, 2252.99 9341.41, 2259.65 9284.87, 2306.21 9188.42, 2409.31 9038.75, 2489.14 8932.32, 2529.05 8889.09, 2495.79 8815.92, 2465.86 8699.51, 2452.55 8549.84, 2479.16 8403.5, 2529.05 8273.79, 2598.89 8200.62, 2642.13 8160.71, 2648.78 8157.38))",202503071102_SESSA-p30-E165_VMSC10702_region_2,SubROI hippo
cortex,"POLYGON ((1364.97 7119.69, 1883.82 6850.28, 2645.46 8087.53, 2143.24 8420.13, 1364.97 7119.69))",202503071102_SESSA-p30-E165_VMSC10702_region_2,SubROI cortex
