EntityID,geometry,dataset,group
hippocampus,"POLYGON ((2270.83 3335.29, 2383.91 3348.6, 2510.29 3395.16, 2676.59 3488.29, 2802.98 3608.02, 2962.62 3767.66, 3115.62 3980.52, 3235.35 4193.38, 3315.17 4419.55, 3348.43 4619.11, 3355.08 4778.75, 3248.65 4965, 3122.27 5164.56, 2995.88 5470.55, 2816.28 5723.32, 2723.15 5789.84, 2357.3 5856.36, 2217.61 5803.14, 2111.18 5683.41, 2051.31 5443.94, 2071.27 5217.77, 2097.88 4951.7, 2104.53 4698.93, 2104.53 4452.81, 2071.27 4279.86, 2004.75 4093.61, 1898.32 3907.35, 1751.98 3767.66, 1638.9 3761.01, 1505.86 3814.23, 1372.82 3854.14, 1239.78 3854.14, 1126.7 3774.32, 1106.75 3621.32, 1159.96 3508.24, 1286.35 3415.11, 1492.56 3388.51, 1712.07 3375.2, 1938.23 3341.94, 2144.44 3315.34, 2270.83 3335.29))",202504111150_Sessa-p0-p7_VMSC10702_region_2,SubROI hippocampus
cortex,"POLYGON ((2054.64 3255.47, 2729.81 2068.11, 3318.5 2483.85, 2576.81 3528.2, 2057.97 3258.8, 2054.64 3255.47))",202504111150_Sessa-p0-p7_VMSC10702_region_2,SubROI cortex
