Ungrouped,Gnai3,,#ff4028
Ungrouped,Ngfr,,#ff6b97
Oligo,Wnt3,,#a3ff19
ExN,Ccnd2,,#ff4028
Astrocytes,Lhx2,,#ffd547
ExN,Lhx2,,#ffd547
Immune,Itgb2,,#a8efff
Vascular,Cdh1,,#ff4028
Astrocytes,Cdh4,,#a851ff
GABA,Cdh4,,#a851ff
Ungrouped,Plin2,,#ffd547
Oligo,Pdgfra,,#5eff7b
Vascular,Pdgfra,,#5eff7b
Immune,Pdgfb,,#f06cfe
Vascular,Pdgfb,,#f06cfe
Astrocytes,Sox9,,#ff4028
Ependymal,Sox9,,#ff4028
ExN,Sema4f,,#a8efff
GABA,Sema4f,,#a8efff
Ungrouped,Ddx3x,,#f06cfe
Astrocytes,S100a6,,#a8efff
Ungrouped,Icam2,,#f06cfe
ExN,Sema6b,,#ff9f5d
GABA,Efnb2,,#449fff
Astrocytes,Smo,,#ffd547
Immune,Smo,,#ffd547
Vascular,Smo,,#ffd547
Oligo,Plxnb3,,#a3ff19
Immune,Spi1,,#5eff7b
Immune,Tgfb1,,#a8efff
Ungrouped,Shh,,#ff6b97
GABA,Grin2d,,#ff6b97
GABA,Lamb1,,#ff6b97
Astrocytes,Cdkn1b,,#5eff7b
Oligo,Cdkn1b,,#5eff7b
Ungrouped,Efna2,,#ff6b97
Astrocytes,Grin2c,,#5eff7b
Ungrouped,Rnd1,,#449fff
GABA,Calb2,,#ffd547
Oligo,Efnb3,,#ffd547
Astrocytes,Grm3,,#a851ff
Oligo,Grm3,,#a851ff
GABA,Plxna3,,#5eff7b
Ungrouped,Pax2,,#a3ff19
ExN,Atp6v1f,,#a3ff19
GABA,Sst,,#ff6b97
Ungrouped,Map2k1,,#ffd547
Ungrouped,Cstb,,#ff4028
Oligo,Trp53,,#5eff7b
GABA,Slc1a6,,#ffd547
Astrocytes,Slc1a3,,#449fff
Oligo,Slc1a3,,#449fff
Vascular,Slc1a3,,#449fff
ExN,Stx1a,,#ff4028
GABA,Prkaca,,#a851ff
Astrocytes,Igf1r,,#a3ff19
Ependymal,Igf1r,,#a3ff19
Oligo,Igf1r,,#a3ff19
Vascular,Igf1r,,#a3ff19
GABA,Kit,,#ffd547
GABA,Pvalb,,#5eff7b
Astrocytes,Ephb3,,#ff4028
GABA,Crkl,,#5eff7b
Ungrouped,Atp6v1b1,,#5eff7b
Ungrouped,Epha2,,#ffd547
Ungrouped,Cdk4,,#a3ff19
ExN,Hcn1,,#ff9f5d
GABA,Hcn1,,#ff9f5d
Vascular,Ctnnb1,,#449fff
ExN,Clcn2,,#a8efff
Vascular,Clcn2,,#a8efff
Immune,Tgfbr1,,#5eff7b
Vascular,Tgfbr1,,#5eff7b
ExN,Gabrb2,,#5eff7b
GABA,Gabrb2,,#5eff7b
Vascular,Rhoa,,#ff6b97
Astrocytes,Id3,,#ff6b97
Vascular,Id3,,#ff6b97
Astrocytes,Bmp7,,#ff4028
Vascular,Bmp7,,#ff4028
Ungrouped,Ascl2,,#ffd547
Ungrouped,Wnt3a,,#ff4028
Oligo,Gosr1,,#449fff
Vascular,Bmp5,,#a3ff19
Ungrouped,Atp6v0d1,,#ffd547
Immune,Pten,,#f06cfe
Vascular,Pten,,#f06cfe
Ungrouped,Dll1,,#2828ff
GABA,Limk1,,#f06cfe
Ungrouped,Gzmb,,#2828ff
Astrocytes,Atp6v0e,,#a851ff
Oligo,Cers2,,#a851ff
Vascular,Cd34,,#ff4028
Ungrouped,Cd274,,#ff6b97
Astrocytes,Sdc4,,#ffd547
Ependymal,Sdc4,,#ffd547
Vascular,Sdc4,,#ffd547
Astrocytes,Rnd3,,#ffd547
GABA,Rnd3,,#ffd547
ExN,Cacnb1,,#5eff7b
Ungrouped,Rac3,,#ff4028
Immune,Mfng,,#a8efff
Ungrouped,Cldn7,,#a3ff19
Astrocytes,Pdlim4,,#2828ff
Ungrouped,Lhx1,,#449fff
GABA,Ap2b1,,#2828ff
GABA,Ndel1,,#5eff7b
Ungrouped,Cd22,,#2828ff
ExN,Mdh2,,#f06cfe
ExN,Atp6v1e1,,#ff9f5d
Ungrouped,Cd70,,#ffd547
Astrocytes,Sema6a,,#2828ff
GABA,Sema6a,,#2828ff
Oligo,Sema6a,,#2828ff
Vascular,Sema6a,,#2828ff
GABA,Vip,,#a851ff
Astrocytes,Nr2e1,,#2828ff
GABA,Nr2e1,,#2828ff
Astrocytes,Fabp7,,#a3ff19
Oligo,Fabp7,,#a3ff19
GABA,Slc17a8,,#a8efff
GABA,Stx7,,#ff6b97
Immune,Stx7,,#ff6b97
Astrocytes,Ntn4,,#a851ff
GABA,Ntn4,,#a851ff
Immune,Vsir,,#f06cfe
GABA,Srgap1,,#ff4028
Oligo,Srgap1,,#ff4028
Astrocytes,Egfr,,#a851ff
GABA,Egfr,,#a851ff
Vascular,Egfr,,#a851ff
Oligo,Mdm2,,#ff6b97
Ungrouped,Madcam1,,#a3ff19
ExN,Adcy1,,#a8efff
Astrocytes,Efemp1,,#a8efff
Vascular,Efemp1,,#a8efff
Immune,Rock2,,#ff9f5d
Ungrouped,Sdc1,,#a3ff19
ExN,Adcy3,,#5eff7b
GABA,Adcy3,,#5eff7b
GABA,Dnajc27,,#ffd547
Ungrouped,Pomc,,#ffd547
Astrocytes,Ddx5,,#5eff7b
Ependymal,Ddx5,,#5eff7b
Immune,Ddx5,,#5eff7b
Vascular,Ddx5,,#5eff7b
ExN,Vamp2,,#ff6b97
Oligo,Ntn1,,#449fff
Vascular,Ntn1,,#449fff
GABA,Gosr2,,#ffd547
ExN,Foxg1,,#ff4028
ExN,Atp6v1d,,#2828ff
Ungrouped,Fos,,#ff9f5d
GABA,Gng4,,#ffd547
Astrocytes,Id4,,#2828ff
Ependymal,Id4,,#2828ff
Astrocytes,Ripk1,,#ff4028
Oligo,Ripk1,,#ff4028
Astrocytes,Cxcl14,,#ff9f5d
GABA,Cxcl14,,#ff9f5d
Astrocytes,Adcy2,,#f06cfe
ExN,Adcy2,,#f06cfe
Ungrouped,Slc6a3,,#2828ff
Astrocytes,Fezf2,,#449fff
ExN,Fezf2,,#449fff
Ungrouped,Ccdc25,,#ffd547
Astrocytes,Clu,,#ff4028
Ependymal,Clu,,#ff4028
Ungrouped,Chrna2,,#449fff
Oligo,Dpysl2,,#ff6b97
Astrocytes,Sdc2,,#ff4028
Ependymal,Sdc2,,#ff4028
Vascular,Sdc2,,#ff4028
Ungrouped,Atp6v1c1,,#ff6b97
Ungrouped,Rbx1,,#ff4028
Oligo,Slc38a2,,#a3ff19
Vascular,Slc38a2,,#a3ff19
Astrocytes,Bcl6,,#ff6b97
Ungrouped,Cldn1,,#f06cfe
Astrocytes,Hes1,,#ff4028
Vascular,Hes1,,#ff4028
Astrocytes,Alcam,,#449fff
GABA,Alcam,,#449fff
Vascular,Alcam,,#449fff
Astrocytes,Nectin3,,#ff4028
Ungrouped,Snap29,,#a8efff
Astrocytes,Pak2,,#a3ff19
Immune,Pak2,,#a3ff19
Oligo,Pak2,,#a3ff19
Astrocytes,Gsk3b,,#5eff7b
GABA,Gsk3b,,#5eff7b
Vascular,Gsk3b,,#5eff7b
Astrocytes,Klhl24,,#a8efff
GABA,Klhl24,,#a8efff
Ungrouped,Clic6,,#2828ff
ExN,Nr4a1,,#a3ff19
Ungrouped,Sncg,,#f06cfe
ExN,Grm2,,#ffd547
Oligo,Gabrr2,,#ffd547
